subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor,mu1,mu2,sd1,sd2
uepP036,6,4,1,SS,-1.0,21.0,2,3.23684837462433,1,5.262212175273577,370.920280902666,382.4193414525639,2,4,-1.0,21.0,0,0
uepP036,6,4,2,SS,-1.0,21.0,2,3.3782506520205136,1,5.579502991875263,382.4193414525639,394.3770950964597,2,4,-1.0,21.0,0,0
uepP036,6,4,3,SS,-1.0,21.0,2,1.78276326825164,1,5.921603070362544,394.3770950964597,405.0814614350739,2,4,-1.0,21.0,0,0
uepP036,6,4,4,SS,-1.0,21.0,2,1.7078519330828819,1,5.591635528962303,405.0814614350739,415.3809488971191,2,4,-1.0,21.0,0,0
uepP036,6,4,5,SS,-1.0,21.0,2,4.2112446382593385,1,3.3115815397789015,415.3809488971191,425.90377507515734,2,4,-1.0,21.0,0,0
uepP036,6,4,6,SS,-1.0,21.0,2,2.68999517582666,1,3.365490427074386,425.90377507515734,434.9592606780584,2,4,-1.0,21.0,0,0
uepP036,6,4,7,SS,-1.0,21.0,2,1.9565550894195705,1,5.451713744632717,434.9592606780584,445.3675295121107,2,4,-1.0,21.0,0,0
uepP036,6,4,8,SS,-1.0,21.0,2,1.6080874715393425,1,3.87775396946899,445.3675295121107,453.85337095311905,2,4,-1.0,21.0,0,0
uepP036,6,4,9,SS,-1.0,21.0,2,4.256768341018938,1,3.6014158762905377,453.85337095311905,464.71155517042854,2,4,-1.0,21.0,0,0
uepP036,6,4,10,SS,-1.0,21.0,2,3.0700024137566335,1,3.218442415814971,464.71155517042854,474.00000000000017,2,4,-1.0,21.0,0,0
